BEBÉ,"Camilo, El Alfa","['rap', 'pop']",pop
Una Locura,"Ozuna, J Balvin, Chencho Corleone","['rap', 'pop']",pop
Lemon Pepper Freestyle (feat. Rick Ross),Drake,"['rap', 'pop']",rap
Starboy,"The Weeknd, Daft Punk","['r&b', 'pop']",pop
Ropa Cara,Camilo,"['rap', 'pop']",pop
Vida de Rico,Camilo,"['rap', 'pop']",pop
Devil Eyes,Hippie Sabotage,"['rap', 'pop']",pop
Selfish Love (with Selena Gomez),DJ Snake,"['pop', 'rap']",pop
DAYWALKER! (feat. CORPSE),Machine Gun Kelly,"['rap', 'pop']",rap
I Feel It Coming,"The Weeknd, Daft Punk","['r&b', 'pop']",pop
Someone To You,BANNERS,"['rock', 'pop']",pop
LOST,"NF, Hopsin","['rap', 'pop']",rap
Life's A Mess II (with Clever & Post Malone),Juice WRLD,"['pop', 'rap']",pop
CHIAMAMI PER NOME,"Francesca Michielin, Fedez","['pop', 'rock']",pop
Mona Lisa,"Booba, JSX","['rap', 'pop']",rap
Electric Love,BØRNS,"['rock', 'pop']",pop
Maniac,Conan Gray,"['pop', 'rock']",pop
ROXANNE,Arizona Zervas,"['rap', 'pop']",rap
Madonna,"Bausa, Apache 207","['rap', 'pop']",rap
CLOUDS,NF,"['rap', 'pop']",rap
Skin,Sabrina Carpenter,"['pop', 'rock']",pop
Tyler Herro,Jack Harlow,"['rap', 'pop']",rap
Remember That Night?,Sara Kays,"['pop', 'rock']",pop
Despeinada,"Ozuna, Camilo","['rap', 'pop']",pop
"Ay, DiOs Mío!",KAROL G,r&b,r&b
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Bizarrap, Nathy Peluso","['rap', 'pop']",rap
Tattoo - Remix with Camilo,Rauw Alejandro,"['pop', 'rap']",pop
Toosie Slide,Drake,"['rap', 'pop']",rap
Earned It (Fifty Shades Of Grey),The Weeknd,"['r&b', 'pop']",r&b
Wonderwall,Oasis,"['rock', 'pop']",rock
Bad Boy (with Young Thug),Juice WRLD,"['pop', 'rap']",rap
Can't Feel My Face,The Weeknd,"['r&b', 'pop']",pop
Call Out My Name,The Weeknd,"['r&b', 'pop']",r&b
Mds,"Kawe, Mc Lele JP","['rock', 'pop']",rap
Heartless,The Weeknd,"['r&b', 'pop']",pop
Be Alright,Dean Lewis,"['rock', 'pop']",pop
Cry Baby (feat. DaBaby),Megan Thee Stallion,"['rap', 'pop']",rap
Mi Cuarto,Jerry Di,"['rap', 'pop']",pop
Ohne Dich,"KASIMIR1441, badmómzjay, WILDBWOYS","['rap', 'rock']",rock
"Gravity (feat. Tyler, The Creator)","Brent Faiyaz, DJ Dahi","['rap', 'r&b', 'pop']",r&b
Way Out (feat. Big Sean),Jack Harlow,"['rap', 'pop']",rap
De Cora <3,"Rauw Alejandro, J Balvin","['pop', 'rap']",rap
Go Crazy,"Chris Brown, Young Thug","['pop', 'rap', 'r&b']",rap
Reminds Me Of You,"Juice WRLD, The Kid LAROI","['pop', 'rap']",pop
Caramelo,Ozuna,"['rap', 'pop']",pop
La Luz,"Sech, J Balvin","['rap', 'pop']",rap
Sunday Best,Surfaces,"['pop', 'r&b']",pop
Tequila Shots,Kid Cudi,"['rap', 'pop']",rap
E-GIRLS ARE RUINING MY LIFE!,"CORPSE, Savage Ga$p","['pop', 'rap']",rap
All I Want for Christmas Is You,Mariah Carey,"['pop', 'r&b']",pop
Last Christmas,Wham!,"['pop', 'rock']",pop
Rockin' Around The Christmas Tree,Brenda Lee,"['rock', 'pop']",rock
It's Beginning to Look a Lot like Christmas,Michael Bublé,"['pop', 'rock']",pop
It's the Most Wonderful Time of the Year,Andy Williams,"['rock', 'pop']",pop
Underneath the Tree,Kelly Clarkson,"['rock', 'pop']",pop
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,"['pop', 'rock']",pop
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,"['pop', 'rock']",pop
Holly Jolly Christmas,Michael Bublé,"['pop', 'rock']",pop
The Christmas Song (Merry Christmas To You),Nat King Cole,"['r&b', 'pop', 'rock']",rock
White Christmas,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra","['pop', 'rock', 'rap']",rock
A Holly Jolly Christmas - Single Version,Burl Ives,"['pop', 'rock']",rock
Fairytale of New York (feat. Kirsty MacColl),The Pogues,"['rock', 'r&b']",rock
Merry Christmas Everyone,Shakin' Stevens,"['rock', 'pop']",rock
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters","['pop', 'rock']",pop
Show Out (with Skepta & Pop Smoke),Kid Cudi,"['rap', 'pop']",rap
Christmas Lights,Coldplay,"['rock', 'pop']",pop
You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,"['pop', 'rap']",pop
Santa Claus Is Coming to Town,Michael Bublé,"['pop', 'rock']",pop
I Saw Mommy Kissing Santa Claus,The Jackson 5,"['rock', 'r&b']",rock
